"","B_Cells","Mesothelial_Cells","Myofibroblasts","pDCs","Smooth_Muscle_Cells"
"1",0.996,0.976034858387799,0.978450786255096,0.972677595628415,0.978128361419864
"2",0.995995995995996,0.978260869565217,0.977299185098952,0.975476839237057,0.976677430929315
"3",0.996498249124562,0.973799126637555,0.977544473607466,0.975476839237057,0.977459749552773
"4",0.996498249124562,0.973913043478261,0.97607934655776,0.975476839237057,0.977093772369363
"5",0.99749624436655,0.978165938864629,0.975766423357664,0.975476839237057,0.976079971438772
"6",0.997,0.975929978118162,0.97667638483965,0.981029810298103,0.975644699140401
"7",0.996491228070175,0.980392156862745,0.975211431904345,0.978260869565217,0.974615659635324
"8",0.99649474211317,0.978260869565217,0.977544473607466,0.978260869565217,0.977093772369363
"9",0.995488721804511,0.976034858387799,0.976377952755905,0.981029810298103,0.975679542203147
"10",0.994502748625687,0.975929978118162,0.974014598540146,0.967032967032967,0.973937879328811
